block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,mean,lambda_low,degree,12.0,0.6,0.35,7,target:17:lambda_low:7:1173028096,0.32160142064094543,0.91259765625,0.06802051514387131
17,mean_degree,lambda_low,degree,12.0,0.6,0.35,7,target:17:lambda_low:7:1173028096,0.23997998237609863,0.899658203125,0.07168655097484589
17,sum,lambda_low,degree,12.0,0.6,0.35,7,target:17:lambda_low:7:1173028096,0.2292146384716034,0.90869140625,0.06867071986198425
17,pna,lambda_low,degree,12.0,0.6,0.35,7,target:17:lambda_low:7:1173028096,0.30378055572509766,0.903076171875,0.07559223473072052
17,mean,lambda_high,degree,48.0,0.6,0.35,0,target:17:lambda_high:0:741037617,0.005783996544778347,0.99853515625,0.001034260611049831
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,0,target:17:lambda_high:0:741037617,0.002991999266669154,0.99853515625,0.0008969674818217754
17,sum,lambda_high,degree,48.0,0.6,0.35,0,target:17:lambda_high:0:741037617,0.0012618590844795108,0.99951171875,0.0003742068074643612
17,pna,lambda_high,degree,48.0,0.6,0.35,0,target:17:lambda_high:0:741037617,0.01021181233227253,0.998291015625,0.0015481305308640003
17,mean,lambda_high,degree,48.0,0.6,0.35,1,target:17:lambda_high:1:908358658,0.004759025759994984,1.0,0.0004393013077788055
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,1,target:17:lambda_high:1:908358658,0.0006242030649445951,1.0,5.4125110182212666e-05
17,sum,lambda_high,degree,48.0,0.6,0.35,1,target:17:lambda_high:1:908358658,0.002978211734443903,0.998779296875,0.0008201824966818094
17,pna,lambda_high,degree,48.0,0.6,0.35,1,target:17:lambda_high:1:908358658,0.018441468477249146,0.995849609375,0.0036174915730953217
17,mean,lambda_high,degree,48.0,0.6,0.35,2,target:17:lambda_high:2:1885738713,0.004692757502198219,0.999267578125,0.0006788450991734862
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,2,target:17:lambda_high:2:1885738713,0.0022676156368106604,0.99951171875,0.0005605355836451054
17,sum,lambda_high,degree,48.0,0.6,0.35,2,target:17:lambda_high:2:1885738713,0.0015665696701034904,0.999755859375,0.0002526090247556567
17,pna,lambda_high,degree,48.0,0.6,0.35,2,target:17:lambda_high:2:1885738713,0.008602987974882126,0.9990234375,0.0010752584785223007
17,mean,lambda_high,degree,48.0,0.6,0.35,3,target:17:lambda_high:3:98247267,0.004504042211920023,0.999267578125,0.0007360236486420035
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,3,target:17:lambda_high:3:98247267,0.002701318357139826,0.999267578125,0.0006541841430589557
17,sum,lambda_high,degree,48.0,0.6,0.35,3,target:17:lambda_high:3:98247267,0.002437450923025608,0.99951171875,0.00048122648149728775
17,pna,lambda_high,degree,48.0,0.6,0.35,3,target:17:lambda_high:3:98247267,0.009137257933616638,0.99853515625,0.0013629770837724209
17,mean,lambda_high,degree,48.0,0.6,0.35,4,target:17:lambda_high:4:1272563245,0.006453637033700943,0.999267578125,0.001049820682965219
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,4,target:17:lambda_high:4:1272563245,0.003256552154198289,0.9990234375,0.0008145472966134548
17,sum,lambda_high,degree,48.0,0.6,0.35,4,target:17:lambda_high:4:1272563245,0.0008360414649359882,0.999755859375,0.00026679752045311034
17,pna,lambda_high,degree,48.0,0.6,0.35,4,target:17:lambda_high:4:1272563245,0.010952875949442387,0.998779296875,0.001540787285193801
17,mean,lambda_high,degree,48.0,0.6,0.35,5,target:17:lambda_high:5:560792613,0.0033988612703979015,1.0,0.0003400581772439182
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,5,target:17:lambda_high:5:560792613,0.001122666522860527,0.999755859375,0.0002212336694356054
17,sum,lambda_high,degree,48.0,0.6,0.35,5,target:17:lambda_high:5:560792613,6.781066622352228e-05,1.0,1.055737266142387e-05
17,pna,lambda_high,degree,48.0,0.6,0.35,5,target:17:lambda_high:5:560792613,0.00750672398135066,0.999267578125,0.0009233648888766766
17,mean,lambda_high,degree,48.0,0.6,0.35,6,target:17:lambda_high:6:1599338009,0.021655187010765076,0.99560546875,0.00457839434966445
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,6,target:17:lambda_high:6:1599338009,0.015936944633722305,0.994873046875,0.004257624037563801
17,sum,lambda_high,degree,48.0,0.6,0.35,6,target:17:lambda_high:6:1599338009,0.005003216676414013,0.998291015625,0.001394955557771027
17,pna,lambda_high,degree,48.0,0.6,0.35,6,target:17:lambda_high:6:1599338009,0.025438522920012474,0.99462890625,0.0051221344619989395
17,mean,lambda_high,degree,48.0,0.6,0.35,7,target:17:lambda_high:7:1427507940,0.003308524377644062,0.999755859375,0.00045118987327441573
17,mean_degree,lambda_high,degree,48.0,0.6,0.35,7,target:17:lambda_high:7:1427507940,0.0015591654228046536,0.999755859375,0.0003597451141104102
17,sum,lambda_high,degree,48.0,0.6,0.35,7,target:17:lambda_high:7:1427507940,0.00213077524676919,0.99951171875,0.00036802151589654386
17,pna,lambda_high,degree,48.0,0.6,0.35,7,target:17:lambda_high:7:1427507940,0.00660879909992218,0.999267578125,0.0007936838665045798
17,mean,rho_low,homophily,24.0,0.3,0.35,0,target:17:rho_low:0:966328468,0.5532366037368774,0.78857421875,0.15811049938201904
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,0,target:17:rho_low:0:966328468,0.5437295436859131,0.793701171875,0.15698020160198212
17,sum,rho_low,homophily,24.0,0.3,0.35,0,target:17:rho_low:0:966328468,0.6043254137039185,0.790771484375,0.1622822880744934
17,pna,rho_low,homophily,24.0,0.3,0.35,0,target:17:rho_low:0:966328468,0.5490623116493225,0.771484375,0.16648387908935547
17,mean,rho_low,homophily,24.0,0.3,0.35,1,target:17:rho_low:1:192936225,0.5398938655853271,0.80078125,0.15146863460540771
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,1,target:17:rho_low:1:192936225,0.5418514013290405,0.802734375,0.15209880471229553
17,sum,rho_low,homophily,24.0,0.3,0.35,1,target:17:rho_low:1:192936225,0.5768853425979614,0.806884765625,0.1505139172077179
17,pna,rho_low,homophily,24.0,0.3,0.35,1,target:17:rho_low:1:192936225,0.5229392647743225,0.787841796875,0.15561291575431824
17,mean,rho_low,homophily,24.0,0.3,0.35,2,target:17:rho_low:2:48191980,0.7546889185905457,0.733642578125,0.20467853546142578
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,2,target:17:rho_low:2:48191980,0.7766043543815613,0.734619140625,0.2076779305934906
17,sum,rho_low,homophily,24.0,0.3,0.35,2,target:17:rho_low:2:48191980,0.8532291054725647,0.74169921875,0.20822618901729584
17,pna,rho_low,homophily,24.0,0.3,0.35,2,target:17:rho_low:2:48191980,0.6544560194015503,0.746337890625,0.19298061728477478
17,mean,rho_low,homophily,24.0,0.3,0.35,3,target:17:rho_low:3:365984379,0.5695170164108276,0.77734375,0.16264158487319946
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,3,target:17:rho_low:3:365984379,0.5543145537376404,0.780029296875,0.1604880690574646
17,sum,rho_low,homophily,24.0,0.3,0.35,3,target:17:rho_low:3:365984379,0.6230600476264954,0.788330078125,0.16610082983970642
17,pna,rho_low,homophily,24.0,0.3,0.35,3,target:17:rho_low:3:365984379,0.5392168760299683,0.77783203125,0.16291415691375732
17,mean,rho_low,homophily,24.0,0.3,0.35,4,target:17:rho_low:4:597497015,0.5749416947364807,0.77978515625,0.16533403098583221
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,4,target:17:rho_low:4:597497015,0.5620003938674927,0.7802734375,0.16335320472717285
17,sum,rho_low,homophily,24.0,0.3,0.35,4,target:17:rho_low:4:597497015,0.6176590323448181,0.781005859375,0.16820965707302094
17,pna,rho_low,homophily,24.0,0.3,0.35,4,target:17:rho_low:4:597497015,0.5530652403831482,0.766845703125,0.16855648159980774
17,mean,rho_low,homophily,24.0,0.3,0.35,5,target:17:rho_low:5:1320169094,0.6596706509590149,0.759033203125,0.1837526559829712
